tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1,F1,1,8.0,0.125,0.1,S3_cg_amg,0.08950496645284979,1101.619631784361,12307.91625808476,True,True,1.6524824501469643e-17,,,,,False,,,,13.0,True,0.09272154099971885,0.00509425000018382,12345,31.0,81.0,,,
T1,F1,1,16.0,0.0625,0.1,S1_lu,0.009514112819340902,2512.381085708841,264068.8767744598,True,True,2.007076072602394e-17,,,,,False,0.018926662268819068,0.28029157788627584,0.2986310953954764,0.0,True,0.16998983399980716,0.0005055420001554012,12345,46.0,289.0,,,
T1,F1,1,16.0,0.0625,0.1,S2_cg_jacobi,0.009514112819340902,2512.381085708841,264068.8767744598,True,True,2.007076072602394e-17,,,,,False,,,,49.0,True,0.16998983399980716,0.001547709000078612,12345,46.0,289.0,,,
T1,F1,1,16.0,0.0625,0.1,S3_cg_amg,0.009514112819340902,2512.381085708841,264068.8767744598,True,True,2.007076072602394e-17,,,,,False,,,,13.0,True,0.16998983399980716,0.004266166999968846,12345,46.0,289.0,,,
T1,F1,1,32.0,0.03125,0.1,S1_lu,0.1337859388240365,6280.574992875153,46944.95586068841,True,True,4.008986983705305e-17,,,,,False,0.011358108935911822,0.2216849217414392,0.22476892437338744,0.0,True,0.3097397500000625,0.0004287500000828004,12345,57.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.1,S2_cg_jacobi,0.1337859388240365,6280.574992875153,46944.95586068841,True,True,4.008986983705305e-17,,,,,False,,,,60.0,True,0.3097397500000625,0.0018948749998344283,12345,57.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.1,S3_cg_amg,0.1337859388240365,6280.574992875153,46944.95586068841,True,True,4.008986983705305e-17,,,,,False,,,,14.0,True,0.3097397500000625,0.005306000000018685,12345,57.0,1089.0,,,
T1,F1,1,64.0,0.015625,0.1,S1_lu,0.11406765534382864,15978.671396392423,140080.6508052496,True,True,2.977718512410204e-17,,,,,False,0.003447308430774034,0.12437418379295889,0.1258426614769803,0.0,True,1.0999322500001654,0.0004258750000190048,12345,73.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.1,S2_cg_jacobi,0.11406765534382864,15978.671396392423,140080.6508052496,True,True,2.977718512410204e-17,,,,,False,,,,78.0,True,1.0999322500001654,0.00245654199989076,12345,73.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.1,S3_cg_amg,0.11406765534382864,15978.671396392423,140080.6508052496,True,True,2.977718512410204e-17,,,,,False,,,,16.0,True,1.0999322500001654,0.00786104200005866,12345,73.0,4225.0,,,
